Carimbo de data/hora	LINK DA CASA	VALOR DA CASA	Bairro	Valor do Imóvel 	NÚMERO DE QUARTOS	NÚMERO DE BANHEIROS	Tamanho do Terreno	TEM EDÍCULA?	ZONA	eeeee	São José do Rio Preto
6/29/2023 20:08:27	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Herculano/6559	385000	Jardim Herculano	350-400 mil	3	2	360	Sim	OESTE	Jardim Herculano, São José do Rio Preto	
6/29/2023 20:09:10	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Herculano/1088	550000	Jardim Herculano	Mais que 400 mil	3	3	339	Não	OESTE	Jardim Herculano, São José do Rio Preto	
6/29/2023 20:09:59	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Maria-Candida/23030	730000	Jardim Maria Candida	Mais que 400 mil	3	5	350	Não	OESTE	Jardim Maria Candida, São José do Rio Preto	
6/29/2023 20:10:37	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Maria-Candida/2472	700000	Jardim Maria Candida	Mais que 400 mil	3	5	360	Não	OESTE	Jardim Maria Candida, São José do Rio Preto	
6/29/2023 20:11:39	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Macedo-Teles-I/24260	590000	Macedo Teles	Mais que 400 mil	3	3	324	Não	OESTE	Macedo Teles, São José do Rio Preto	
6/29/2023 20:12:18	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Macedo-Teles-I/23913	280000	Macedo Teles	250-300 mil	3	2	330	Não	OESTE	Macedo Teles, São José do Rio Preto	
6/29/2023 20:15:43	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Macedo-Teles-I/20696	499000	Macedo Teles	Mais que 400 mil	3	3	390	Não	OESTE	Macedo Teles, São José do Rio Preto	
6/29/2023 20:16:40	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Macedo-Teles-I/20830	510000	Macedo Teles	Mais que 400 mil	3	2	330	Não	OESTE	Macedo Teles, São José do Rio Preto	
6/29/2023 20:17:33	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Macedo-Teles-I/18453	380000	Macedo Teles		2	3	275	Não	OESTE	Macedo Teles, São José do Rio Preto	
6/29/2023 20:18:38	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Macedo-Teles-I/16128	400000	Macedo Teles	350-400 mil	3	3	480	Não	OESTE	Macedo Teles, São José do Rio Preto	
6/29/2023 20:19:26	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Macedo-Teles-I/7531	515000	Macedo Teles	Mais que 400 mil	3	3	275	Não	OESTE	Macedo Teles, São José do Rio Preto	
6/29/2023 20:20:28	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Sobrado/Residencial-Palestra/24384	620000	Residencial Palestra	Mais que 400 mil	3	4	200	Não	OESTE	Residencial Palestra, São José do Rio Preto	
6/29/2023 20:21:08	https://www.redentora.com.br/alugar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Palestra/23884	425000	Residencial Palestra	Mais que 400 mil	3	2	290	Não	OESTE	Residencial Palestra, São José do Rio Preto	
6/29/2023 20:21:48	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Palestra/23812	430000	Residencial Palestra	Mais que 400 mil	3	2	210	Não	OESTE	Residencial Palestra, São José do Rio Preto	
6/29/2023 20:22:31	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Palestra/17663	345000	Residencial Palestra	300-350 mil	2	3	200	Não	OESTE	Residencial Palestra, São José do Rio Preto	
6/29/2023 20:23:07	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Palestra/11922	440000	Residencial Palestra	Mais que 400 mil	3	3	210	Não	OESTE	Residencial Palestra, São José do Rio Preto	
6/29/2023 20:23:46	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Palestra/7279	420000	Residencial Palestra	Mais que 400 mil	3	2	210	Não	OESTE	Residencial Palestra, São José do Rio Preto	
6/29/2023 20:24:32	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Palestra/2833	420000	Residencial Palestra	Mais que 400 mil	3	3	210	Não	OESTE	Residencial Palestra, São José do Rio Preto	
6/29/2023 20:25:10	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Sobrado/Residencial-Palestra/982	550000	Residencial Palestra	Mais que 400 mil	3	5	240	Não	OESTE	Residencial Palestra, São José do Rio Preto	
6/29/2023 20:29:09	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Esplanada/21173	550000	Vila Esplanada	Mais que 400 mil	3	2	363	Sim	OESTE	Vila Esplanada, São José do Rio Preto	
6/29/2023 20:30:03	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Esplanada/11995	250000	Vila Esplanada	250-300 mil	>=4	2	231	Sim	OESTE	Vila Esplanada, São José do Rio Preto	
6/29/2023 20:30:40	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Esplanada/9859	480000	Vila Esplanada	Mais que 400 mil	2	3	198	Não	OESTE	Vila Esplanada, São José do Rio Preto	
6/29/2023 20:31:30	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Esplanada/2532	450000	Vila Esplanada	Mais que 400 mil	3	1	294	Não	OESTE	Vila Esplanada, São José do Rio Preto	
6/29/2023 20:32:15	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Esplanada/1640	380000	Vila Esplanada	350-400 mil	3	3	363	Não	OESTE	Vila Esplanada, São José do Rio Preto	
6/29/2023 20:32:57	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Esplanada/1579	350000	Vila Esplanada	350-400 mil	3	3	120	Não	OESTE	Vila Esplanada, São José do Rio Preto	
6/29/2023 20:33:49	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Moreira/23118	360000	Vila Moreira	350-400 mil	2	2	363	Sim	OESTE	Vila Moreira, São José do Rio Preto	
6/29/2023 20:34:19	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Moreira/23284	190000	Vila Moreira	Até 250 mil	2	1	200	Não	OESTE	Vila Moreira, São José do Rio Preto	
6/29/2023 20:34:52	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Moreira/18306	600000	Vila Moreira	Mais que 400 mil	>=4	4	363	Sim	OESTE	Vila Moreira, São José do Rio Preto	
6/29/2023 20:35:40	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Moreira/5956	420000	Vila Moreira	Mais que 400 mil	3	2	374	Não	OESTE	Vila Moreira, São José do Rio Preto	
6/29/2023 20:36:18	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Moreira/1157	400000	Vila Moreira	350-400 mil	3	1	484	Sim	OESTE	Vila Moreira, São José do Rio Preto	
