CARIMBO DE DATA/HORA	LINK DA CASA	VALOR DA CASA	BAIRRO	RUA	NÚMERO 	VALOR DO IMÓVEL 	NÚMERO DE QUARTOS	NÚMERO DE BANHEIROS	TAMANHO DO TERRENO	TEM EDÍCULA?	ZONA	ccccc	São José do Rio Preto
6/19/2023 21:25:24	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Nossa-Senhora-do-Bonfim/21620	450000	Vila Nossa Senhora Do Bonfim			Mais que 400 mil	3	3	200,0	Não	SUL	Vila Nossa Senhora Do Bonfim, São José do Rio Preto	
6/19/2023 21:26:28	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Nossa-Senhora-do-Bonfim/21540	370000	Vila Nossa Senhora Do Bonfim			350-400 mil	2	3	360,0	Sim	SUL	Vila Nossa Senhora Do Bonfim, São José do Rio Preto	
6/19/2023 21:27:17	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Sao-Pedro/24378	525000	Vila Sao Pedro			Mais que 400 mil	>=4	3	363,0	Não	SUL	Vila Sao Pedro, São José do Rio Preto	
6/19/2023 21:28:15	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Setsul/23052	520000	Setsul			Mais que 400 mil	3	3	200,0	Não	SUL	Setsul, São José do Rio Preto	
6/19/2023 21:28:55	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Setsul/21307	494000	Setsul			Mais que 400 mil	3	2	200,0	Não	SUL	Setsul, São José do Rio Preto	
6/19/2023 21:29:34	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Setsul/19396	480000	Setsul			Mais que 400 mil	3	2	200,0	Não	SUL	Setsul, São José do Rio Preto	
6/19/2023 21:30:14	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Setsul/19217	450000	Setsul			Mais que 400 mil	3	2	200,0	Não	SUL	Setsul, São José do Rio Preto	
6/19/2023 21:30:45	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Setsul/18380	530000	Setsul			Mais que 400 mil	3	4	200,0	Não	SUL	Setsul, São José do Rio Preto	
6/19/2023 21:31:33	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Setsul/18354	690000	Setsul			Mais que 400 mil	3	2	200,0	Não	SUL	Setsul, São José do Rio Preto	
6/19/2023 21:32:06	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Setsul/17256	480000	Setsul			Mais que 400 mil	3	3	200,0	Não	SUL	Setsul, São José do Rio Preto	
6/19/2023 21:32:38	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Setsul/5340	475000	Setsul			Mais que 400 mil	3	2	200,0	Não	SUL	Setsul, São José do Rio Preto	
6/25/2023 10:06:28	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Sinibaldi/20802	400000	Vila Sinibaldi			Mais que 400 mil	3	3	355,0	Sim	SUL	Vila Sinibaldi, São José do Rio Preto	
6/25/2023 10:07:06	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Sinibaldi/16446	621000	Vila Sinibaldi			Mais que 400 mil	3	2	299,0	Sim	SUL	Vila Sinibaldi, São José do Rio Preto	
6/25/2023 10:07:43	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Sinibaldi/894	380000	Vila Sinibaldi			350-400 mil	3	1	242,0	Não	SUL	Vila Sinibaldi, São José do Rio Preto	
6/25/2023 10:08:44	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Sao-Pedro/24378	525000	Vila Sao Pedro			Mais que 400 mil	>=4	3	363,0	Não	SUL	Vila Sao Pedro, São José do Rio Preto	
6/25/2023 10:09:33	https://www.redentora.com.br/total-de-imoveis/comprar/Sao-Jose-do-Rio-Preto-210/Casa-Padrao-12/Zona-Sul-2/Vila-Santa-Candida-899	1500000	Vila Santa Candida			Mais que 400 mil	>=4	5	456,0	Não	SUL	Vila Santa Candida, São José do Rio Preto	
6/25/2023 10:10:44	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Nossa-Senhora-do-Bonfim/21620	450000	Vila Nossa Senhora Do Bonfim			Mais que 400 mil	3	3	200,0	Não	SUL	Vila Nossa Senhora Do Bonfim, São José do Rio Preto	
6/25/2023 10:11:22	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Nossa-Senhora-do-Bonfim/21540	370000	Vila Nossa Senhora Do Bonfim			350-400 mil	2	3	360,0	Sim	SUL	Vila Nossa Senhora Do Bonfim, São José do Rio Preto	
6/25/2023 10:12:22	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Universitario/12063	1100000	Jardim Universitario			Mais que 400 mil	3	4	450,0	Não	SUL	Jardim Universitario, São José do Rio Preto	
6/25/2023 10:12:58	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Universitario/5244	750000	Jardim Universitario			Mais que 400 mil	3	5	480,0	Não	SUL	Jardim Universitario, São José do Rio Preto	
