CARIMBO DE DATA/HORA	LINK DA CASA	VALOR DA CASA	BAIRRO	RUA	NÚMERO 	VALOR DO IMÓVEL 	NÚMERO DE QUARTOS	NÚMERO DE BANHEIROS	TAMANHO DO TERRENO	TEM EDÍCULA?	ZONA	Boa Vista, São José do Rio Preto	São José do Rio Preto
6/25/2023 11:48:55	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/17329	550000	Parque Industrial			Mais que 400 mil	>=4	2	242	Sim	CENTRO	Parque Industrial, São José do Rio Preto	
6/25/2023 11:49:33	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/17150	350000	Parque Industrial			300-350 mil	3	2	264	Sim	CENTRO	Parque Industrial, São José do Rio Preto	
6/25/2023 11:50:07	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/16730	580000	Parque Industrial			Mais que 400 mil	3	3	300	Não	CENTRO	Parque Industrial, São José do Rio Preto	
6/25/2023 11:50:46	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/14941	280000	Parque Industrial			250-300 mil	2	1	242	Não	CENTRO	Parque Industrial, São José do Rio Preto	
6/25/2023 11:51:22	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/2411	650000	Parque Industrial			Mais que 400 mil	>=4	3	363	Sim	CENTRO	Parque Industrial, São José do Rio Preto	
6/25/2023 11:52:19	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/2329	370000	Parque Industrial			350-400 mil	3	2	276	Não	CENTRO	Parque Industrial, São José do Rio Preto	
6/25/2023 11:52:54	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/1962	500000	Parque Industrial			Mais que 400 mil	3	2	242	Não	CENTRO	Parque Industrial, São José do Rio Preto	
6/25/2023 11:53:34	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/1891	500000	Parque Industrial				3	3	363	Não	CENTRO	Parque Industrial, São José do Rio Preto	
6/25/2023 11:54:35	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/1198	380000	Parque Industrial			350-400 mil	2	1	363	Não	CENTRO	Parque Industrial, São José do Rio Preto	
6/25/2023 11:55:16	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/1121	350000	Parque Industrial			300-350 mil	3	3	242	Não	CENTRO	Parque Industrial, São José do Rio Preto	
6/25/2023 11:55:49	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/1070	320000	Parque Industrial			300-350 mil	3	2	484	Não	CENTRO	Parque Industrial, São José do Rio Preto	
6/25/2023 11:56:28	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/963	800000	Parque Industrial			Mais que 400 mil	>=4	3	300	Não	CENTRO	Parque Industrial, São José do Rio Preto	
6/25/2023 11:57:16	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Diniz/24150	420000	Vila Diniz			Mais que 400 mil	3	5	253	Sim	CENTRO	Vila Diniz, São José do Rio Preto	
