CARIMBO DE DATA/HORA	LINK DA CASA	VALOR DA CASA	BAIRRO	RUA	NÚMERO 	VALOR DO IMÓVEL 	NÚMERO DE QUARTOS	NÚMERO DE BANHEIROS	TAMANHO DO TERRENO	TEM EDÍCULA?	ZONA	bbbb	São José Do Rio Preto
6/24/2023 12:39:29	redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Estrela/20382	480000	Jardim Estrela			Mais que 400 mil	3	2	200,0	Não	LESTE	Jardim Estrela, São José Do Rio Preto	
6/24/2023 12:40:29	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Estrela/23136	625000	Jardim Estrela			Mais que 400 mil	3	5	360,0	Não	LESTE	Jardim Estrela, São José Do Rio Preto	
6/24/2023 12:41:21	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Felicidade/22670	270000	Jardim Felicidade			250-300 mil	3	2	250,0	Não	LESTE	Jardim Felicidade, São José Do Rio Preto	
6/24/2023 12:42:08	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Felicidade/7109	350000	Jardim Felicidade			350-400 mil	3	2	200,0	Não	LESTE	Jardim Felicidade, São José Do Rio Preto	
6/24/2023 12:42:47	redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Felicidade/13772	235000	Jardim Felicidade			Até 250 mil	2	2	200,0	Não	LESTE	Jardim Felicidade, São José Do Rio Preto	
6/24/2023 12:43:37	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Joao-Paulo-II/23737	340000	João Paulo 2			300-350 mil	3	1	200,0	Não	LESTE	João Paulo 2, São José Do Rio Preto	
6/24/2023 12:44:19	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Joao-Paulo-II/22102	230000	João Paulo 2			Até 250 mil	3	2	200,0	Não	LESTE	João Paulo 2, São José Do Rio Preto	
6/24/2023 12:44:54	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Joao-Paulo-II/22095	500000	João Paulo 2			Mais que 400 mil	2	2	200,0	Sim	LESTE	João Paulo 2, São José Do Rio Preto	
6/24/2023 12:45:34	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Joao-Paulo-II/19694	260000	João Paulo 2			250-300 mil	3	2	200,0	Não	LESTE	João Paulo 2, São José Do Rio Preto	
6/24/2023 12:46:09	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Joao-Paulo-II/20124	200000	João Paulo 2			Até 250 mil	2	2	80,0	Sim	LESTE	João Paulo 2, São José Do Rio Preto	
6/24/2023 12:46:51	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Joao-Paulo-II/20601	365000	João Paulo 2			350-400 mil	2	3	200,0	Não	LESTE	João Paulo 2, São José Do Rio Preto	
