CARIMBO DE DATA/HORA	LINK DA CASA	VALOR DA CASA	BAIRRO	RUA	NÚMERO 	VALOR DO IMÓVEL 	NÚMERO DE QUARTOS	NÚMERO DE BANHEIROS	TAMANHO DO TERRENO	TEM EDÍCULA?	ZONA	dddd	São José do Rio Preto
6/22/2023 11:34:07	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Gisette/17046	400000	Jardim Gisette			Mais que 400 mil	3	2	200,0	Não	NORTE	Jardim Gisette, São José do Rio Preto	
6/22/2023 11:34:53	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Gisette/13781	360000	Jardim Gisette			350-400 mil	3	3	200,0	Não	NORTE	Jardim Gisette, São José do Rio Preto	
6/22/2023 11:35:32	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Gisette/4977	280000	Jardim Gisette			250-300 mil	3	3	200,0	Não	NORTE	Jardim Gisette, São José do Rio Preto	
6/22/2023 11:36:27	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Gisette/19894	190000	Jardim Gisette			Até 250 mil	3	2	248,0	Não	NORTE	Jardim Gisette, São José do Rio Preto	
6/22/2023 13:12:32	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Itapema/23803	370000	Jardim Itapema			350-400 mil	3	3	336,0	Não	NORTE	Jardim Itapema, São José do Rio Preto	
6/22/2023 13:13:11	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Itapema/24282	390000	Jardim Itapema			350-400 mil	3	2	360,0	Sim	NORTE	Jardim Itapema, São José do Rio Preto	
6/22/2023 13:18:22	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nunes/23444	280000	Jardim Nunes			250-300 mil	3	2	200,0	Não	NORTE	Jardim Nunes, São José do Rio Preto	
6/22/2023 13:19:37	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nunes/19330	345000	Jardim Nunes			300-350 mil	3	2	200,0	Não	NORTE	Jardim Nunes, São José do Rio Preto	
6/22/2023 13:20:25	https://redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nunes/18141	250000	Jardim Nunes			250-300 mil	2	2	200,0	Não	NORTE	Jardim Nunes, São José do Rio Preto	
6/22/2023 13:21:03	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nunes/13544	320000	Jardim Nunes			300-350 mil	3	4	220,0	Não	NORTE	Jardim Nunes, São José do Rio Preto	
6/22/2023 13:21:50	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nunes/13422	300000	Jardim Nunes			300-350 mil	3	2	200,0	Sim	NORTE	Jardim Nunes, São José do Rio Preto	
6/22/2023 13:22:27	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nunes/1558	230000	Jardim Nunes			Até 250 mil	3	1	125,0	Não	NORTE	Jardim Nunes, São José do Rio Preto	
